TxsUploadedTime,PgInsertDate
2017-09-12T12:11:38.011Z,2019-07-29T03:27:55.321Z
2017-09-15T04:14:23.753Z,2019-07-29T03:27:56.020Z
2017-09-20T01:43:00.445Z,2019-07-29T03:27:56.585Z
2017-09-23T05:47:41.790Z,2019-07-29T03:27:57.163Z
2017-09-27T11:26:08.123Z,2019-07-29T03:27:57.669Z
2017-09-28T13:17:01.721Z,2019-07-29T03:27:58.161Z
2017-10-03T12:19:32.590Z,2019-07-29T03:27:58.818Z
2017-10-08T11:31:32.465Z,2019-07-29T03:27:59.626Z
2017-10-13T10:30:10.666Z,2019-07-29T03:28:00.367Z
2017-10-18T10:25:51.562Z,2019-07-29T03:28:01.117Z
2017-10-23T10:12:18.798Z,2019-07-29T03:28:01.814Z
2017-10-28T10:10:15.536Z,2019-07-29T03:28:02.786Z
2017-11-02T10:08:47.784Z,2019-07-29T03:28:04.183Z
2017-11-07T10:06:51.615Z,2019-07-29T03:28:05.853Z
2017-11-12T09:52:02.005Z,2019-07-29T03:28:07.855Z
2017-11-17T09:51:08.398Z,2019-07-29T03:28:09.672Z
2017-11-22T09:50:10.428Z,2019-07-29T03:28:11.318Z
2017-11-27T09:46:57.211Z,2019-07-29T03:28:12.923Z
2017-12-02T09:45:31.956Z,2019-07-29T03:28:14.767Z
2017-12-07T09:41:43.424Z,2019-07-29T03:28:16.969Z
2017-12-12T09:41:31.708Z,2019-07-29T03:28:19.360Z
2017-12-17T09:38:23.220Z,2019-07-29T03:28:21.688Z
2017-12-22T09:37:49.407Z,2019-07-29T03:28:24.012Z
2017-12-27T09:34:52.824Z,2019-07-29T03:28:25.628Z
2018-01-01T09:25:38.103Z,2019-07-29T03:28:27.667Z
2018-01-06T09:24:11.306Z,2019-07-29T03:28:30.303Z
2018-01-11T06:58:25.313Z,2019-07-29T03:28:33.269Z
2018-01-16T06:57:08.663Z,2019-07-29T03:28:36.733Z
2018-01-21T06:52:14.093Z,2019-07-29T03:28:41.261Z
2018-01-26T06:51:36.031Z,2019-07-29T03:28:45.741Z
2018-01-31T06:50:15.956Z,2019-07-29T03:28:50.972Z
2018-02-05T06:49:59.338Z,2019-07-29T03:28:56.607Z
2018-02-10T06:49:53.061Z,2019-07-29T03:29:04.253Z
2018-02-15T06:47:21.625Z,2019-07-29T03:29:08.814Z
2018-02-20T06:43:30.274Z,2019-07-29T03:29:10.558Z
2018-02-23T07:43:00.679Z,2019-07-29T03:29:13.856Z
2018-02-28T07:41:03.095Z,2019-07-29T03:29:19.544Z
